Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.None,NA,0.0008,0.0042,0.0034
Unknown.Recessive,C,0.0025,0.2063,0.2038
Unknown.Unknown,D,0.0018,0.0159,0.0141
Unknown.Unknown,C,0.0026,0.0063,0.0037
Unknown.Unknown,C,0.002,0.0134,0.0114
None.Unknown,C,0.0006,0.0031,0.0025
Recessive.Recessive,NA,0,0.0008,0.0008
Dominant.Unknown,C,0.0005,0.0034,0.0029
Recessive.Unknown,C,0.0024,0.0037,0.0013
Unknown.Unknown,C,0.0015,0.0076,0.0061
Dominant.None,NA,0,0.128,0.128
Unknown.Unknown,C,0.0016,0.062,0.0604
Both.Recessive,C,0.0046,0.006,0.0014
Recessive.Unknown,C,0.0075,0.0079,0.000400000000000001
Dominant.None,C,0,0.0025,0.0025
Unknown.Unknown,C,0,0.01,0.01
Unknown.Unknown,C,0.0016,0.0301,0.0285
Recessive.Recessive,D,0,0.067,0.067
None.Unknown,C,0.0053,0.0278,0.0225
Unknown.Unknown,D,0,0.0019,0.0019
Unknown.Unknown,C,0.0335,0.1982,0.1647
Unknown.Unknown,D,0.0006,0.0029,0.0023
Unknown.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,C,0,0.0042,0.0042
Both.Unknown,C,0.0023,0.0034,0.0011
Unknown.Unknown,D,0,0.0116,0.0116
Unknown.Recessive,D,0.0012,0.0046,0.0034
Unknown.None,C,0.001,0.006,0.005
Unknown.Unknown,C,0,0.0024,0.0024
Recessive.Unknown,C,0.0033,0.0081,0.0048
Dominant.None,C,0.0033,0.0092,0.0059
Dominant.Unknown,C,0.0018,0.0079,0.0061
Unknown.Unknown,D,0.0008,0.0053,0.0045
None.None,C,0.002,0.0053,0.0033
Unknown.Recessive,D,0.0041,0.0194,0.0153
Unknown.Dominant,D,0.0008,0.0009,9.99999999999999e-05
Recessive.Recessive,D,0.005,0.0248,0.0198
Dominant.Unknown,D,0.0048,0.0097,0.0049
Unknown.Unknown,C,0,0.0035,0.0035
Unknown.Unknown,D,0.0006,0.0022,0.0016
Unknown.None,C,0,0.0102,0.0102
Recessive.Unknown,C,0.0043,0.013,0.0087
Dominant.Unknown,C,0,0.0026,0.0026
Unknown.Unknown,D,0.0034,0.0053,0.0019
Unknown.Unknown,C,0,0.0054,0.0054
Unknown.Unknown,D,0.0063,0.0364,0.0301
None.Unknown,C,0.0009,0.0034,0.0025
Unknown.Unknown,C,0.0014,0.003,0.0016
Unknown.Unknown,D,0.0044,0.0118,0.0074
Dominant.Dominant,C,0.0012,0.0218,0.0206
Unknown.Unknown,C,0.0118,0.0559,0.0441
None.Unknown,C,0.003,0.0046,0.0016
