Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.4,C,HSS.HSS,redundant.redundant,0.0004.0.0027
4.3,D,HSS.HSS,redundant.redundant,0.0015.0.0026
4.4,D,Intermediate.HSS,intermittent.redundant,0.0011.0.0033
2.4,C,HSS.HSS,redundant.redundant,0.0014.0.002
4.4,D,HSS.HSS,redundant.redundant,0.0.0029
3.1,C,HSS.HSS,redundant.redundant,0.0.0005
4.4,D,HSS.HSS,critical.redundant,0.0058.0.02
4.4,C,HSS.HSS,intermittent.redundant,0.0009.0.023
3.2,D,HSS.HSS,redundant.redundant,0.0036.0.0123
4.4,C,HSS.HSS,redundant.intermittent,0.001.0.0035
2.4,D,HSS.HSS,redundant.intermittent,0.0009.0.0029
2.4,C,HSS.HSS,redundant.redundant,0.0151.0.1349
4.4,C,HSS.HSS,redundant.redundant,0.0.0054
4.4,C,HSS.HSS,intermittent.redundant,0.001.0.0037
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0055
3.4,C,HSS.HSS,redundant.redundant,0.0002.0.002
4.4,D,HSS.HSS,redundant.redundant,0.002.0.003
4.4,C,HSS.HSS,intermittent.redundant,0.0026.0.0091
4.4,D,HSS.HSS,redundant.redundant,0.0013.0.0093
4.1,D,HSS.HSS,redundant.redundant,0.0.0136
4.4,D,HSS.HSS,redundant.redundant,0.0016.0.0026
4.3,D,HSS.HSS,intermittent.redundant,0.0006.0.0022
4.1,D,HSS.HSS,critical.redundant,0.001.0.0021
4.4,D,HSS.HSS,redundant.redundant,0.0.0005
4.1,D,HSS.HSS,redundant.intermittent,0.0039.0.0041
4.4,NA,HSS.HSS,redundant.redundant,0.0016.0.0072
4.2,C,Strict.HSS,redundant.redundant,0.0.0018
4.1,C,HSS.HSS,redundant.redundant,0.022.0.0292
4.3,C,HSS.HSS,redundant.redundant,0.0015.0.0055
4.1,D,HSS.HSS,redundant.redundant,0.002.0.0023
1.4,C,HSS.HSS,redundant.redundant,0.0008.0.0058
4.4,D,HSS.HSS,intermittent.redundant,0.0024.0.028
2.4,C,HSS.HSS,redundant.redundant,0.0015.0.0048
2.4,C,HSS.HSS,redundant.redundant,0.0014.0.0033
4.3,C,HSS.HSS,redundant.critical,0.0.045
1.3,C,HSS.HSS,redundant.redundant,0.0.007
4.4,C,HSS.HSS,redundant.redundant,0.0007.0.002
4.3,NA,HSS.HSS,redundant.redundant,0.0019.0.0902
4.1,C,HSS.HSS,redundant.redundant,0.0053.0.0132
3.4,C,HSS.HSS,intermittent.redundant,0.002.0.0168
2.4,C,HSS.HSS,redundant.redundant,0.0025.0.0464
4.4,D,HSS.HSS,intermittent.redundant,0.0051.0.0125
4.4,C,HSS.HSS,redundant.intermittent,0.0024.0.0116
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0135
4.1,D,HSS.HSS,redundant.redundant,0.0086.0.057
3.4,C,HSS.HSS,redundant.redundant,0.0.0039
4.4,C,HSS.HSS,redundant.redundant,0.0041.0.0371
4.4,D,HSS.HSS,redundant.redundant,0.002.0.0052
4.4,NA,HSS.HSS,redundant.redundant,0.002.0.028
4.4,D,HSS.HSS,redundant.redundant,0.0.0012
3.4,C,HSS.Intermediate,redundant.redundant,0.0025.0.0096
1.1,C,HSS.HSS,redundant.redundant,0.0.0008
4.4,C,HSS.HSS,redundant.redundant,0.0.0024
1.4,C,HSS.HSS,redundant.redundant,0.001.0.0166
4.4,C,HSS.HSS,redundant.redundant,0.0026.0.0047
