Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
126,Bilateria,8,1,0,1,6,2,1
1261,LECA,5,1,1,2,1,4,0
12615,LECA,2,1,0,0,1,1,0
1262,Gnathostomata,2,0,0,0,2,0,0
1263,LECA,7,0,1,1,5,2,0
12637,Vertebrata,3,0,0,0,3,0,0
1264,Gnathostomata,13,2,0,0,11,2,0
1267,LECA,4,0,0,0,4,0,0
127,Vertebrata,2,0,0,1,1,1,0
1270,LECA,2,0,0,0,2,0,0
1271,Bilateria,3,0,0,0,3,0,0
12770,Eutheria,3,2,0,0,1,2,0
128,LECA,13,0,2,2,9,4,1
12818,Homo sapiens,2,0,0,0,2,0,0
12837,Mammalia,3,0,1,1,1,2,0
12842,LECA,2,0,0,0,2,0,0
12843,Gnathostomata,2,0,0,0,2,0,0
1287,LECA,53,6,2,3,42,11,2
12884,LECA,2,0,0,0,2,0,0
129,Opisthokonta,2,2,0,0,0,2,0
12925,Simiiformes,2,0,0,0,2,0,0
1294,Gnathostomata,3,0,0,0,3,0,0
1297,Vertebrata,2,0,0,0,2,0,0
1298,Bilateria,9,2,0,0,7,2,2
1299,LECA,21,2,5,0,14,7,0
13,LECA,10,0,2,2,6,4,0
130,Bilateria,18,6,1,1,10,8,1
1301,LECA,7,2,2,0,3,4,0
13018,LECA,2,0,0,1,1,1,1
1302,LECA,2,0,0,0,2,0,0
13026,LECA,2,1,1,0,0,2,0
1305,Vertebrata,2,0,0,0,2,0,0
13052,Homo sapiens,3,0,0,0,3,0,0
1307,LECA,11,2,1,1,7,4,0
131,Bilateria,3,0,0,0,3,0,0
1310,Bilateria,18,0,3,1,14,4,1
13122,Catarrhini,2,0,0,0,2,0,0
1313,LECA,2,0,1,0,1,1,0
1314,LECA,8,0,2,4,2,6,0
1315,LECA,2,0,0,0,2,0,0
1316,Opisthokonta,2,0,0,0,2,0,0
1317,LECA,9,1,2,0,6,3,0
1319,Vertebrata,2,1,1,0,0,2,0
1322,LECA,5,1,0,2,2,3,1
1323,LECA,3,0,1,1,1,2,0
1324,Bilateria,6,0,2,1,3,3,0
1326,LECA,6,0,0,1,5,1,0
1327,Vertebrata,7,1,1,1,4,3,0
13287,Vertebrata,2,0,1,0,1,1,0
1329,LECA,3,0,0,0,3,0,0
133,LECA,8,0,1,1,6,2,1
1330,Opisthokonta,2,1,0,0,1,1,0
1331,Mammalia,2,0,0,0,2,0,0
1333,LECA,9,1,0,1,7,2,0
1335,LECA,7,1,0,1,5,2,0
1336,LECA,6,0,1,1,4,2,0
1339,LECA,27,5,2,0,20,7,2
134,Bilateria,15,0,2,0,13,2,1
1341,Opisthokonta,2,0,0,1,1,1,0
1343,LECA,4,0,0,1,3,1,0
1344,LECA,5,0,1,1,3,2,0
13453,Opisthokonta,2,0,1,0,1,1,0
1346,LECA,17,4,0,3,10,7,0
1347,LECA,3,0,0,2,1,2,0
135,Bilateria,5,0,0,0,5,0,0
13508,Bilateria,3,0,0,0,3,0,0
1351,LECA,12,1,1,0,10,2,0
1352,Vertebrata,3,1,0,1,1,2,0
1353,Vertebrata,2,1,0,0,1,1,0
1354,Bilateria,10,3,0,0,7,3,0
13552,Gnathostomata,2,0,0,0,2,0,0
1357,LECA,3,0,0,0,3,0,0
13572,Bilateria,2,1,0,0,1,1,0
1358,Vertebrata,3,0,1,0,2,1,0
1359,LECA,3,0,0,0,3,0,0
136,LECA,43,5,6,5,27,16,1
1360,LECA,2,1,0,0,1,1,0
1363,LECA,4,0,0,2,2,2,1
1364,Vertebrata,3,0,1,2,0,3,0
13646,Homininae,2,1,1,0,0,2,0
1366,Chordata,3,0,0,0,3,0,0
1368,Vertebrata,2,0,0,0,2,0,0
137,LECA,8,0,1,0,7,1,1
1372,LECA,2,0,0,0,2,0,0
1373,LECA,5,1,1,0,3,2,0
1374,Chordata,2,1,0,0,1,1,0
1376,Opisthokonta,2,0,0,1,1,1,0
1377,LECA,11,0,3,0,8,3,1
138,LECA,27,3,7,7,10,17,3
1381,Catarrhini,2,0,0,0,2,0,0
1386,LECA,9,1,2,1,5,4,0
1387,LECA,5,1,0,3,1,4,0
1389,LECA,19,3,2,6,8,11,0
139,Bilateria,2,0,0,0,2,0,0
1390,LECA,3,0,1,0,2,1,0
1391,LECA,3,0,0,0,3,0,0
1393,Opisthokonta,2,0,0,0,2,0,0
1394,LECA,4,0,2,1,1,3,0
1395,LECA,2,0,0,0,2,0,0
1397,LECA,2,0,0,0,2,0,1
14,Bilateria,2,1,0,0,1,1,0
1402,Opisthokonta,5,0,1,1,3,2,0
1403,LECA,2,0,0,0,2,0,0
1404,LECA,7,2,0,1,4,3,0
1406,LECA,5,1,0,1,3,2,1
141,LECA,4,0,0,1,3,1,0
1411,Gnathostomata,2,1,0,0,1,1,0
1412,LECA,11,2,2,1,6,5,0
