Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Unknown,C,0.0011.0.0015
Dominant.Unknown,D,0.0013.0.367
Unknown.Unknown,C,0.0011.0.0031
Unknown.Both,C,0.0016.0.0084
Unknown.Dominant,C,0.0.001
None.Unknown,NA,0.0101.0.0622
None.Unknown,D,0.002.0.0052
Dominant.Unknown,C,0.0046.0.027
None.Recessive,D,0.0032.0.0036
Unknown.Dominant,C,0.0008.0.0044
Unknown.Recessive,C,0.0.007
Unknown.Unknown,C,0.0027.0.0562
Unknown.Dominant,D,0.0077.0.0372
None.None,NA,0.0012.0.011
Unknown.Unknown,D,0.0015.0.0018
Unknown.Unknown,C,0.0018.0.0084
Unknown.Unknown,D,0.0016.0.0027
Dominant.Unknown,C,0.0.0006
Unknown.Unknown,C,0.0.003
Unknown.Unknown,C,0.0.0012
None.None,D,0.0035.0.0059
Unknown.Unknown,C,0.0.001
Unknown.Unknown,C,0.0.0103
Dominant.Both,C,0.0005.0.0054
Dominant.Dominant,C,0.0.0372
Unknown.Unknown,D,0.001.0.0014
None.Unknown,C,0.0.0068
Unknown.Unknown,C,0.0.0046
Unknown.Unknown,D,0.0.0351
Unknown.Unknown,D,0.0024.0.0065
Unknown.Unknown,D,0.0022.0.0114
Dominant.Both,C,0.0007.0.0054
Dominant.None,C,0.0009.0.0052
Unknown.Unknown,D,0.0004.0.0029
None.None,D,0.0021.0.0022
None.Unknown,C,0.0.0012
Unknown.Unknown,D,0.0.0026
Unknown.Recessive,C,0.0027.0.0038
Unknown.Recessive,D,0.0013.0.0024
Both.Dominant,NA,0.0.0369
Dominant.Unknown,D,0.006.0.0393
None.None,C,0.008.0.0116
None.Unknown,C,0.0.003
None.Unknown,D,0.001.0.0021
Unknown.Unknown,D,0.0.0105
None.Recessive,D,0.0012.0.0019
None.Unknown,C,0.0013.0.0015
Both.Unknown,C,0.0034.0.0511
Both.Both,NA,0.0.0016
Dominant.Unknown,NA,0.0073.0.0092
None.Unknown,D,0.0.0026
Unknown.Unknown,D,0.0119.0.0121
Unknown.Unknown,C,0.002.0.005
Unknown.Dominant,D,0.0.0017
Unknown.Dominant,NA,0.001.0.0101
Unknown.Unknown,C,0.0.0039
Dominant.Unknown,D,0.0.0291
Dominant.Unknown,C,0.0021.0.009
Recessive.Recessive,D,0.0.0038
Dominant.Unknown,C,0.0012.0.0013
Unknown.Recessive,D,0.0011.0.0036
Unknown.None,C,0.0042.0.0051
Unknown.Unknown,C,0.0039.0.0071
None.Unknown,D,0.0096.0.0099
Unknown.Recessive,D,0.0065.0.0245
None.None,D,0.0009.0.0192
Dominant.Recessive,C,0.0.0033
None.None,NA,0.0007.0.0142
Unknown.Dominant,D,0.0.0372
Recessive.Both,D,0.0029.0.0031
Unknown.Unknown,C,0.0006.0.0638
Recessive.Both,C,0.0003.0.0028
Unknown.Both,D,0.003.0.0145
Both.Recessive,C,0.0029.0.0061
Unknown.Unknown,C,0.0013.0.0023
Unknown.Unknown,C,0.0032.0.0229
Unknown.Unknown,C,0.0.0184
Unknown.Recessive,D,0.0.0036
Unknown.Unknown,D,0.0008.0.0012
Unknown.Unknown,C,0.0013.0.0253
None.None,D,0.0112.0.0505
Unknown.Unknown,C,0.003.0.0054
Unknown.Unknown,C,0.0017.0.003
Unknown.Unknown,C,0.0.0023
Recessive.Unknown,C,0.0028.0.0278
None.Unknown,D,0.0028.0.0047
Unknown.Unknown,NA,0.0014.0.0028
Dominant.Dominant,C,0.0003.0.1307
Unknown.Unknown,C,0.0116.0.0215
Both.Unknown,C,0.0028.0.0033
Dominant.Both,D,0.001.0.0042
Dominant.Unknown,C,0.0.003
Unknown.Unknown,D,0.0017.0.0084
None.None,C,0.0019.0.0031
Unknown.Unknown,C,0.0018.0.0026
Unknown.Unknown,D,0.0019.0.0041
Unknown.Recessive,D,0.016.0.0248
Dominant.Dominant,C,0.0006.0.0007
Both.Unknown,C,0.002.0.0024
None.None,C,0.0091.0.0124
Unknown.None,C,0.0003.0.0025
Unknown.Recessive,C,0.0022.0.0066
Dominant.Both,C,0.0005.0.0054
Unknown.Unknown,C,0.0053.0.0218
Unknown.Dominant,D,0.0048.0.0096
Unknown.Unknown,C,0.0029.0.0036
Unknown.Unknown,C,0.0004.0.0021
Recessive.Unknown,D,0.0013.0.0081
Unknown.Unknown,C,0.0023.0.0075
Unknown.Both,D,0.0054.0.0271
Recessive.Dominant,C,0.0007.0.0031
Dominant.None,C,0.0185.0.027
None.Recessive,D,0.0066.0.0249
Dominant.Dominant,C,0.0042.0.0074
Dominant.Both,D,0.0.0011
Unknown.Dominant,C,0.0006.0.0017
Unknown.Recessive,C,0.0008.0.0037
Recessive.Unknown,D,0.0012.0.0574
Unknown.Unknown,C,0.0008.0.0023
Dominant.Dominant,C,0.0.0022
Unknown.Unknown,D,0.0.0106
Unknown.Unknown,D,0.0097.0.02
Unknown.Unknown,D,0.0007.0.0043
Unknown.Unknown,NA,0.0014.0.0025
Both.Unknown,C,0.0025.0.0351
Unknown.Unknown,C,0.0011.0.0155
Unknown.Unknown,C,0.0.0007
None.Both,D,0.0008.0.0016
Recessive.Unknown,C,0.0.0018
Unknown.Unknown,NA,0.0.0044
Both.Unknown,C,0.0029.0.0064
Unknown.None,D,0.0009.0.0023
Unknown.Unknown,D,0.0019.0.0023
Unknown.None,C,0.0.0038
Unknown.Unknown,C,0.0024.0.0503
Unknown.Unknown,C,0.0.0016
Unknown.Unknown,C,0.0008.0.0017
Unknown.Unknown,C,0.0006.0.0135
Unknown.Dominant,D,0.001.0.0023
Unknown.Recessive,C,0.0.0035
Unknown.Dominant,D,0.0025.0.0031
None.Both,D,0.0.0007
Unknown.None,C,0.0012.0.0181
Unknown.Both,D,0.0035.0.0456
Unknown.Unknown,C,0.0.0685
Dominant.Unknown,D,0.0.0073
Unknown.Unknown,C,0.0.002
Unknown.Unknown,D,0.0017.0.0086
Unknown.Unknown,D,0.0035.0.0058
Unknown.Unknown,D,0.0051.0.0093
Unknown.Unknown,D,0.0.0023
Unknown.Unknown,D,0.0008.0.0011
Unknown.Unknown,C,0.0.0736
Unknown.None,D,0.0048.0.007
Unknown.Dominant,D,0.0027.0.0096
None.Recessive,D,0.0019.0.0028
Unknown.None,C,0.0027.0.0056
Both.Unknown,C,0.002.0.009
Recessive.Unknown,C,0.0013.0.0021
Dominant.Unknown,C,0.0.0105
Unknown.Unknown,C,0.0015.0.002
Both.Dominant,NA,0.0.0243
Recessive.Recessive,D,0.0.0033
None.None,D,0.019.0.0505
Unknown.Unknown,C,0.0.0193
Both.Unknown,C,0.0051.0.0068
Unknown.Unknown,C,0.0019.0.0038
Unknown.Recessive,D,0.0026.0.0028
Unknown.None,D,0.0008.0.0027
Unknown.Unknown,D,0.001.0.0082
Unknown.None,NA,0.0017.0.018
Unknown.Unknown,C,0.0.0095
Unknown.Unknown,C,0.0.0019
Unknown.Unknown,NA,0.0035.0.0196
Unknown.Unknown,C,0.0019.0.0081
Both.Unknown,C,0.002.0.0067
Unknown.Dominant,D,0.003.0.0243
Unknown.Unknown,C,0.0021.0.0026
Unknown.Unknown,NA,0.0033.0.0093
Recessive.Unknown,C,0.0035.0.004
Unknown.Dominant,D,0.0035.0.0096
Unknown.Unknown,D,0.0024.0.0034
None.Unknown,C,0.0.0019
Unknown.Unknown,D,0.0022.0.0181
Unknown.Unknown,NA,0.0014.0.0035
Unknown.Unknown,C,0.0044.0.0134
Unknown.Unknown,C,0.0.0339
Unknown.Unknown,D,0.0.0027
Dominant.Recessive,C,0.0003.0.0027
Unknown.Unknown,C,0.0.003
None.Unknown,D,0.0.0038
Dominant.Unknown,C,0.0.0036
Unknown.Unknown,C,0.0011.0.0014
Unknown.Unknown,NA,0.0012.0.005
Unknown.Unknown,D,0.0022.0.0038
Unknown.Unknown,D,0.0093.0.0451
Unknown.Unknown,C,0.001.0.0198
Dominant.Unknown,C,0.0021.0.028
Unknown.Unknown,C,0.0018.0.0027
Unknown.Unknown,D,0.0063.0.0477
Unknown.Unknown,C,0.0008.0.0014
None.None,C,0.001.0.0019
Unknown.Unknown,D,0.0.0011
Unknown.Unknown,C,0.0.0014
Unknown.Recessive,D,0.0.0022
Dominant.Unknown,C,0.0016.0.0049
Unknown.Unknown,C,0.0.0011
Unknown.Unknown,C,0.0.001
Dominant.Unknown,D,0.0033.0.0034
Unknown.Unknown,C,0.0011.0.0078
