Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Dominant,C,0.0012.0.0023
Unknown.Unknown,D,0.0.0005
Unknown.Unknown,C,0.0006.0.0085
Unknown.None,NA,0.0063.0.029
Unknown.Unknown,D,0.0021.0.0022
Unknown.Unknown,NA,0.0018.0.0224
Unknown.Unknown,D,0.0052.0.0102
Dominant.Unknown,D,0.0009.0.0021
Unknown.Unknown,C,0.0.0457
Unknown.Unknown,D,0.0015.0.0018
Dominant.Dominant,D,0.0.0273
Unknown.Recessive,C,0.0.0226
Recessive.None,D,0.001.0.0066
Dominant.Unknown,C,0.0.0063
None.None,D,0.0039.0.0069
Recessive.None,C,0.0014.0.0017
Recessive.Recessive,D,0.0015.0.0123
Unknown.None,C,0.0011.0.0064
Unknown.Unknown,C,0.0004.0.0027
Unknown.Unknown,D,0.0015.0.0026
None.Unknown,D,0.0011.0.0033
Unknown.None,C,0.0018.0.0053
Unknown.Unknown,C,0.0014.0.002
Unknown.Dominant,D,0.0.0029
Dominant.Unknown,C,0.0.0005
Unknown.Recessive,D,0.0058.0.02
None.None,NA,0.0051.0.0084
Dominant.Dominant,C,0.0009.0.023
Dominant.Dominant,D,0.0036.0.0123
Dominant.Dominant,C,0.001.0.0035
Unknown.Recessive,D,0.0009.0.0029
Unknown.Unknown,C,0.0151.0.1349
Unknown.None,C,0.0.0054
Unknown.Unknown,C,0.001.0.0037
None.Unknown,C,0.0017.0.0055
Dominant.Dominant,C,0.0002.0.002
None.Unknown,D,0.002.0.003
Unknown.Unknown,C,0.0026.0.0091
Unknown.None,D,0.0013.0.0093
Dominant.Unknown,D,0.0.0136
Unknown.Unknown,D,0.0016.0.0026
Recessive.Unknown,D,0.0006.0.0022
Unknown.Unknown,D,0.001.0.0021
Unknown.Unknown,D,0.0.0005
Unknown.Unknown,D,0.0039.0.0041
Unknown.Unknown,NA,0.0016.0.0072
Unknown.Unknown,C,0.0.0018
Unknown.Unknown,C,0.0.0152
Unknown.Unknown,C,0.022.0.0292
Unknown.Unknown,C,0.0015.0.0055
Unknown.Unknown,D,0.002.0.0023
None.Unknown,C,0.0008.0.0058
Unknown.Unknown,D,0.0024.0.028
Unknown.Unknown,C,0.0015.0.0048
Unknown.None,C,0.0014.0.0033
Unknown.Unknown,C,0.0.045
Recessive.None,NA,0.0015.0.0089
Unknown.Unknown,C,0.0.007
Unknown.Unknown,C,0.0011.0.0029
Both.Dominant,C,0.0007.0.002
Unknown.None,NA,0.0019.0.0902
None.Unknown,C,0.0053.0.0132
Unknown.Unknown,C,0.002.0.0168
Dominant.Dominant,C,0.0025.0.0464
None.Dominant,D,0.0051.0.0125
None.Unknown,C,0.0024.0.0116
Unknown.Unknown,C,0.0005.0.0135
Unknown.Recessive,D,0.0086.0.057
Recessive.Unknown,C,0.0.0039
Unknown.Unknown,C,0.0041.0.0371
Unknown.Unknown,D,0.002.0.0052
Unknown.Unknown,NA,0.002.0.028
Unknown.Unknown,D,0.0.0012
Unknown.Unknown,C,0.0025.0.0096
Unknown.Recessive,C,0.0.0008
Unknown.Dominant,C,0.0.0024
Unknown.Unknown,C,0.001.0.0166
Recessive.Recessive,C,0.0026.0.0047
Unknown.None,C,0.0011.0.0028
Dominant.Unknown,D,0.0022.0.0223
Unknown.Unknown,D,0.0023.0.0028
None.None,C,0.0006.0.0041
None.None,C,0.003.0.0038
Unknown.Unknown,C,0.0063.0.0084
Unknown.Recessive,C,0.0021.0.0054
Unknown.Unknown,C,0.0009.0.0125
Unknown.None,C,0.0068.0.0177
Dominant.Unknown,C,0.0005.0.0057
Dominant.Both,D,0.0005.0.0018
Unknown.Unknown,D,0.0.002
Unknown.Unknown,C,0.0018.0.006
Unknown.Unknown,C,0.0021.0.0039
Unknown.Unknown,C,0.0042.0.0053
Recessive.Unknown,C,0.0008.0.0136
Unknown.Unknown,C,0.0.0035
Unknown.None,NA,0.0063.0.0279
Unknown.None,NA,0.0008.0.0042
Unknown.Recessive,C,0.0025.0.2063
Unknown.Unknown,D,0.0018.0.0159
Unknown.Unknown,C,0.0026.0.0063
Unknown.Unknown,C,0.002.0.0134
None.Unknown,C,0.0006.0.0031
Recessive.Recessive,NA,0.0.0008
Dominant.Unknown,C,0.0005.0.0034
Recessive.Unknown,C,0.0024.0.0037
Unknown.Unknown,C,0.0015.0.0076
Dominant.None,NA,0.0.128
Unknown.Unknown,C,0.0016.0.062
Both.Recessive,C,0.0046.0.006
Recessive.Unknown,C,0.0075.0.0079
Dominant.None,C,0.0.0025
Unknown.Unknown,C,0.0.01
Unknown.Unknown,C,0.0016.0.0301
Recessive.Recessive,D,0.0.067
None.Unknown,C,0.0053.0.0278
Unknown.Unknown,D,0.0.0019
Unknown.Unknown,C,0.0335.0.1982
Unknown.Unknown,D,0.0006.0.0029
Unknown.Unknown,C,0.0.0013
Unknown.Unknown,C,0.0.0042
